id,name,loan1011,loan0910,loan0809,loan0708,loan0607,loan0506,loan0405,loan0304,loan0203,loan0102,loan0001,loan9900,TF9900,TF1011,,TF0910,,TF0809,,TF0708,,TF0607,,TF0506,,TF0405,,TF0304,,TF0203,,TF0102,,TF0001,,TotalEnrollment
Fiji,FJI,728573,735401,744469,754963,765609,775425,784386,792736,800157,806303,811006,813925,815257,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,3823,3810,4084,4211,4457,4605,4859,4783,4854,5317,5312,5517
France,FRA,58235697,58559311,58851217,59106768,59327192,59541899,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66316100,17624,18309,18932,19175,19972,20745,21331,22241,23359,24307,26094,27502
"Micronesia, Fed. Sts.",FSM,96301,98770,101389,103915,106030,107529,108321,108480,108208,107781,107402,107173,107030,106625,106129,105371,104444,103543,102975,102911,103450,104506,105926,107446,1766,1913,1982,2141,2132,2298,2251,2147,2241,2314,2483,2587
Gabon,GAB,949488,975783,1002579,1029778,1057255,1084946,1112955,1141338,1170061,1199052,1228360,1258003,1288315,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,12691,13547,13068,13539,13969,14589,15007,15740,16067,14484,14182,14454
United Kingdom,GBR,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,16698,17023,17429,18249,19312,20435,21760,22959,23515,24210,26255,27512
Georgia,GEO,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,5181,4197,2347,1685,1566,1704,2000,2322,2482,2644,2807,3053
Ghana,GHA,14773277,15207367,15653336,16106765,16561674,17014057,17462496,17908985,18357156,18812359,19278856,19756928,20246381,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,1233,1304,1346,1404,1441,1491,1547,1599,1652,1707,1766,1831
Guinea,GIN,6352283,6534939,6716038,6897166,7081116,7269625,7463782,7662075,7860781,8054743,8240730,8417081,8586074,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,871,899,923,967,1000,1040,1078,1124,1148,1180,1208,1253
"Gambia, The",GMB,955593,992673,1027475,1060862,1094212,1128575,1164091,1200526,1238125,1277133,1317703,1360074,1404261,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,938,962,983,1004,996,994,1004,1038,1054,1103,1153,1208
Guinea-Bissau,GNB,975261,997522,1020350,1043423,1066346,1088854,1110833,1132510,1154371,1177131,1201301,1227106,1254453,1313492,1344930,1377581,1411543,1446936,1483921,1522599,1562989,1604979,1648257,1692439,1060,1126,1138,1164,1200,1253,1395,1483,1058,1063,1123,1148
